title,description,severity
"When ""Warn me when closing multiple tabs"" is unchecked, Firefox still prompts with ""Do you want Grand Paradiso to save your tabs for the next time it starts""","When ""Warn me when closing multiple tabs"" is unchecked, Firefox still prompts with ""Do you want Grand Paradiso to save your tabs for the next time it starts""",Medium
Exception in (NS_ERROR_INVALID_POINTER) [nsIPermissionManager.add] failure blocking images from Page Info,Exception in (NS_ERROR_INVALID_POINTER) [nsIPermissionManager.add] failure blocking images from Page Info,Critical
Add error handling to getClosedTabCount,Add error handling to getClosedTabCount,Medium
remove unused Distribution.jsm,remove unused Distribution.jsm,Medium
browser.cache.disk.capacity is incorrectly calculating MBs,browser.cache.disk.capacity is incorrectly calculating MBs,Medium
Port FeedWriter favicon code to use new favicon data URL api,Port FeedWriter favicon code to use new favicon data URL api,Medium
Unify Single Window Mode Preferences,Unify Single Window Mode Preferences,Medium
Remove browser/themes/[pw]instripe/browser/browser.xml,Remove browser/themes/[pw]instripe/browser/browser.xml,Medium
statusbar not using cool new embossed text-shadow-effect-thing for statusbar text,statusbar not using cool new embossed text-shadow-effect-thing for statusbar text,Medium
QuerResultNode Tag refresh optimization is useless as it is,QuerResultNode Tag refresh optimization is useless as it is,Medium
Use aggregate transaction for tag (multi)editing,Use aggregate transaction for tag (multi)editing,Medium
PlacesUtils ignores dynamic containers,PlacesUtils ignores dynamic containers,Medium
"if ExcludeReadOnlyFolders is false, readonly dynamic containers are still excluded","if ExcludeReadOnlyFolders is false, readonly dynamic containers are still excluded",Medium
appendURINode should not append to a dynamic container if we are inside an excludeItems query,appendURINode should not append to a dynamic container if we are inside an excludeItems query,Medium
nsNavHistoryFolderResultNode::OnItemAdded ignores dynamic containers,nsNavHistoryFolderResultNode::OnItemAdded ignores dynamic containers,Medium
possible to wind up with about:sessionrestore listing about:sessionrestore as your session to restore,possible to wind up with about:sessionrestore listing about:sessionrestore as your session to restore,Medium
Use the new D&D API in Places Toolbar,Use the new D&D API in Places Toolbar,Medium
Backup only uri nodes into tag containers,Backup only uri nodes into tag containers,Critical
Selected browser sidebar items have padding,Selected browser sidebar items have padding,Medium
faulty tabbed-browsing,faulty tabbed-browsing,Medium
latest-mozilla-central-l10n do not upload,latest-mozilla-central-l10n do not upload,High
Can not print with Canon i560 cups drivers,Can not print with Canon i560 cups drivers,High
Mac theme includes *-hover.png images no longer in use,Mac theme includes *-hover.png images no longer in use,Low
remove workaround for principal hashtable inconsistency,remove workaround for principal hashtable inconsistency,Low
Unable to delete tags from column list,Unable to delete tags from column list,Medium
Duplicates appear in Smart Bookmarks lists,Duplicates appear in Smart Bookmarks lists,High
nsBrowserGlue should use a smart getter for the pref service,nsBrowserGlue should use a smart getter for the pref service,Medium
Additional search service Ts improvements,Additional search service Ts improvements,Medium
"Make ""choose app to open with"" show ALWAYS appname not appname.app if files extensions are disable in finder [Mac]","Make ""choose app to open with"" show ALWAYS appname not appname.app if files extensions are disable in finder [Mac]",Medium
safebrowsing v2.2 changes,safebrowsing v2.2 changes,Medium
FUEL: Remove unused test files,FUEL: Remove unused test files,Medium
Useless StrCpy call in uninstaller.nsi?,Useless StrCpy call in uninstaller.nsi?,Low
restructure browser/locales/Makefile.in,restructure browser/locales/Makefile.in,Medium
Dragging and dropping a tab from a window with 1 tab is broken,Dragging and dropping a tab from a window with 1 tab is broken,Medium
"get rid of |aTab.localName != ""tab""| checks in removeAllTabsBut, removeTab and reloadTab","get rid of |aTab.localName != ""tab""| checks in removeAllTabsBut, removeTab and reloadTab",Low
Firefox should not make a connection to reported attack sites,Firefox should not make a connection to reported attack sites,Medium
XSS vulnerability in session restore,XSS vulnerability in session restore,Medium
Typo in eBay search plugin description,Typo in eBay search plugin description,Low
Arbitrary code execution using bug 459906,Arbitrary code execution using bug 459906,Medium
"Add new beta locales to the 3.0.4 build automation: bg, cy, eo, et, lv, oc","Add new beta locales to the 3.0.4 build automation: bg, cy, eo, et, lv, oc",Medium
Remove XUL directory listing leftovers from browser/,Remove XUL directory listing leftovers from browser/,Low
Huge sessionstore.js slows down entering Private Browsing mode drastically,Huge sessionstore.js slows down entering Private Browsing mode drastically,Medium
ignore browser.sessionstore.max_resumed_crashes in Safe Mode,ignore browser.sessionstore.max_resumed_crashes in Safe Mode,Medium
windows en-US installers downloaded to wrong location,windows en-US installers downloaded to wrong location,Medium
"Add ""This isn't a web forgery"" to phishing clickthrough notify bar","Add ""This isn't a web forgery"" to phishing clickthrough notify bar",Medium
"""Show Image"" is poorly labeled, can be confused with ""View Image""","""Show Image"" is poorly labeled, can be confused with ""View Image""",Medium
Add Malayalam to the build for 3.1,Add Malayalam to the build for 3.1,Medium
"Video content menu should operate on .currentSrc, not .src","Video content menu should operate on .currentSrc, not .src",Medium
Session store shouldn't clobber its data file after failed restore,Session store shouldn't clobber its data file after failed restore,Critical
sessionstore-windows-restored fires too early,sessionstore-windows-restored fires too early,Medium
"Rephrase Clear Private Data's ""Authenticated Sessions""","Rephrase Clear Private Data's ""Authenticated Sessions""",Medium
Make about:sessionrestore look good on all platforms,Make about:sessionrestore look good on all platforms,Medium
about:sessionrestore blanks lines when clicking on them,about:sessionrestore blanks lines when clicking on them,Medium
about:sessionrestore switches button placement,about:sessionrestore switches button placement,Medium
about:sessionrestore UI is unintuitive,about:sessionrestore UI is unintuitive,Medium
Difference in event.layerX behavior Windows & Mac versions,Difference in event.layerX behavior Windows & Mac versions,Medium
[meta] Tp regressions by enabling Places Fsync stuff,[meta] Tp regressions by enabling Places Fsync stuff,Medium
"load the microsummary service after delayedStartup, w/ other non-essential services","load the microsummary service after delayedStartup, w/ other non-essential services",Medium
Lazily create Extensions object,Lazily create Extensions object,Medium
make migrateV8 tolerant to downgrade-upgrade paths,make migrateV8 tolerant to downgrade-upgrade paths,Medium
Don't try to cancel a not existant timer in nsPlacesDBFlush,Don't try to cancel a not existant timer in nsPlacesDBFlush,Medium
add statementCallback interface to nsPlacesDBFlush,add statementCallback interface to nsPlacesDBFlush,Medium
finalize statements in nsPlacesDBFlush,finalize statements in nsPlacesDBFlush,Medium
Polish about:sessionrestore,Polish about:sessionrestore,Medium
reuse the Session Restore page's window for restoring the session,reuse the Session Restore page's window for restoring the session,Medium
minor visual issues with addressbar and site identity button,minor visual issues with addressbar and site identity button,Medium
Bookmark properties dialog within bookmarks sidebar needs tagging UI,Bookmark properties dialog within bookmarks sidebar needs tagging UI,Medium
"Folder drop down in dialog ""Bookmark All Tabs..."" does not use special folder icons (Bookmarks Menu, Bookmarks Toolbar, Unfiled Bookmarks)","Folder drop down in dialog ""Bookmark All Tabs..."" does not use special folder icons (Bookmarks Menu, Bookmarks Toolbar, Unfiled Bookmarks)",Medium
"Folder listbox in Bookmark Contextual Dialog doesn't use special icons (bookmarks toolbar, bookmarks menu, unsorted bookmarks)","Folder listbox in Bookmark Contextual Dialog doesn't use special icons (bookmarks toolbar, bookmarks menu, unsorted bookmarks)",Medium
"Add ""View Video"" to context menu for <video> elements","Add ""View Video"" to context menu for <video> elements",Medium
